customer_id,signup_date,acquisition_channel,acquisition_cost,region,initial_plan,final_status,churned_at_least_once,first_churn_date,reactivated,reactivation_date
CUST1016,2020-01-08,Email Campaign,41.57,Asia Pacific,Basic,Churned,Yes,2026-06-08,No,
CUST1004,2020-01-18,Paid Search,240.92,MENA,Pro,Churned,Yes,2022-08-18,No,
CUST1030,2020-01-20,Organic Search,17.08,North America,Enterprise,Active,No,,No,
CUST1017,2020-02-07,Email Campaign,34.81,Europe,Pro,Active,No,,No,
CUST1019,2020-03-09,Paid Search,143.68,MENA,Pro,Churned,Yes,2020-11-09,No,
CUST1021,2020-03-17,Referral,61.98,Asia Pacific,Enterprise,Churned,Yes,2025-03-17,No,
CUST1022,2020-03-21,Paid Search,170.97,MENA,Pro,Active,No,,No,
CUST1006,2020-03-23,Organic Search,17.66,North America,Basic,Churned,Yes,2021-09-23,No,
CUST1005,2020-04-15,Referral,36.49,Asia Pacific,Basic,Churned,Yes,2022-09-15,No,
CUST1018,2020-04-21,Referral,44.71,Asia Pacific,Pro,Churned,Yes,2020-10-21,No,
CUST1011,2020-05-03,Email Campaign,43.05,Asia Pacific,Basic,Churned,Yes,2023-02-03,No,
CUST1027,2020-05-17,Social Media,61.23,Europe,Basic,Active,Yes,2020-06-17,Yes,2023-02-17
CUST1015,2020-05-21,Social Media,46.88,North America,Basic,Active,No,,No,
CUST1007,2020-06-04,Paid Search,243.17,North America,Pro,Churned,Yes,2020-07-04,No,
CUST1010,2020-06-19,Paid Search,201.7,North America,Pro,Active,No,,No,
CUST1029,2020-06-25,Paid Search,155.97,Latin America,Enterprise,Churned,Yes,2020-08-25,No,
CUST1003,2020-07-02,Paid Search,205.91,North America,Pro,Churned,Yes,2023-04-02,No,
CUST1009,2020-07-03,Referral,32.96,Asia Pacific,Pro,Churned,Yes,2020-09-03,No,
CUST1026,2020-07-06,Referral,41.66,Latin America,Enterprise,Churned,Yes,2024-10-06,No,
CUST1023,2020-07-13,Referral,41.01,Europe,Basic,Churned,Yes,2021-03-13,No,
CUST1012,2020-08-21,Email Campaign,43.01,North America,Basic,Active,No,,No,
CUST1025,2020-09-25,Organic Search,14.56,MENA,Basic,Active,No,,No,
CUST1024,2020-09-28,Partnership,77.26,MENA,Basic,Churned,Yes,2022-06-28,No,
