transaction_id,customer_id,transaction_date,transaction_type,plan_tier,amount
TXN000001,CUST1016,2020-01-08,New Subscription,Basic,29
TXN000002,CUST1016,2020-02-08,Renewal,Basic,29
TXN000003,CUST1016,2020-03-08,Renewal,Basic,29
TXN000004,CUST1016,2020-04-08,Renewal,Basic,29
TXN000005,CUST1016,2020-05-08,Renewal,Basic,29
TXN000006,CUST1016,2020-06-08,Renewal,Basic,29
TXN000007,CUST1016,2020-07-08,Renewal,Basic,29
TXN000008,CUST1016,2020-08-08,Renewal,Basic,29
TXN000009,CUST1016,2020-09-08,Renewal,Basic,29
TXN000010,CUST1016,2020-10-08,Renewal,Basic,29
TXN000011,CUST1016,2020-11-08,Renewal,Basic,29
TXN000012,CUST1016,2020-12-08,Renewal,Basic,29
TXN000013,CUST1016,2021-01-08,Renewal,Basic,29
TXN000014,CUST1016,2021-02-08,Renewal,Basic,29
TXN000015,CUST1016,2021-03-08,Renewal,Basic,29
TXN000016,CUST1016,2021-04-08,Renewal,Basic,29
TXN000017,CUST1016,2021-05-08,Renewal,Basic,29
TXN000018,CUST1016,2021-06-08,Renewal,Basic,29
TXN000019,CUST1016,2021-07-08,Renewal,Basic,29
TXN000020,CUST1016,2021-08-08,Renewal,Basic,29
TXN000021,CUST1016,2021-09-08,Renewal,Basic,29
TXN000022,CUST1016,2021-10-08,Renewal,Basic,29
TXN000023,CUST1016,2021-11-08,Renewal,Basic,29
TXN000024,CUST1016,2021-12-08,Renewal,Basic,29
TXN000025,CUST1016,2022-01-08,Renewal,Basic,29
TXN000026,CUST1016,2022-02-08,Renewal,Basic,29
TXN000027,CUST1016,2022-03-08,Renewal,Basic,29
TXN000028,CUST1016,2022-04-08,Renewal,Basic,29
TXN000029,CUST1016,2022-05-08,Renewal,Basic,29
TXN000030,CUST1016,2022-06-08,Renewal,Basic,29
TXN000031,CUST1016,2022-07-08,Renewal,Basic,29
TXN000032,CUST1016,2022-08-08,Renewal,Basic,29
TXN000033,CUST1016,2022-09-08,Renewal,Basic,29
TXN000034,CUST1016,2022-10-08,Renewal,Basic,29
TXN000035,CUST1016,2022-11-08,Renewal,Basic,29
TXN000036,CUST1016,2022-12-08,Renewal,Basic,29
TXN000037,CUST1016,2023-01-08,Renewal,Basic,29
TXN000038,CUST1016,2023-02-08,Renewal,Basic,29
TXN000039,CUST1016,2023-03-08,Renewal,Basic,29
TXN000040,CUST1016,2023-04-08,Renewal,Basic,29
TXN000041,CUST1016,2023-05-08,Renewal,Basic,29
TXN000042,CUST1016,2023-06-08,Renewal,Basic,29
TXN000043,CUST1016,2023-07-08,Renewal,Basic,29
TXN000044,CUST1016,2023-08-08,Renewal,Basic,29
TXN000045,CUST1016,2023-09-08,Renewal,Basic,29
TXN000046,CUST1016,2023-10-08,Renewal,Basic,29
TXN000047,CUST1016,2023-11-08,Renewal,Basic,29
TXN000048,CUST1016,2023-12-08,Renewal,Basic,29
TXN000049,CUST1016,2024-01-08,Renewal,Basic,29
TXN000050,CUST1016,2024-02-08,Renewal,Basic,29
TXN000051,CUST1016,2024-03-08,Renewal,Basic,29
TXN000052,CUST1016,2024-04-08,Renewal,Basic,29
TXN000053,CUST1016,2024-05-08,Renewal,Basic,29
TXN000054,CUST1016,2024-06-08,Renewal,Basic,29
TXN000055,CUST1016,2024-07-08,Renewal,Basic,29
TXN000056,CUST1016,2024-08-08,Renewal,Basic,29
TXN000057,CUST1016,2024-09-08,Renewal,Basic,29
TXN000058,CUST1016,2024-10-08,Renewal,Basic,29
TXN000059,CUST1016,2024-11-08,Renewal,Basic,29
TXN000060,CUST1016,2024-12-08,Renewal,Basic,29
TXN000061,CUST1016,2025-01-08,Renewal,Basic,29
TXN000062,CUST1016,2025-02-08,Renewal,Basic,29
TXN000063,CUST1016,2025-03-08,Renewal,Basic,29
TXN000064,CUST1016,2025-04-08,Renewal,Basic,29
TXN000065,CUST1016,2025-05-08,Renewal,Basic,29
TXN000066,CUST1016,2025-06-08,Renewal,Basic,29
TXN000067,CUST1016,2025-07-08,Renewal,Basic,29
TXN000068,CUST1016,2025-08-08,Renewal,Basic,29
TXN000069,CUST1016,2025-09-08,Renewal,Basic,29
TXN000070,CUST1016,2025-10-08,Upgrade,Pro,59
TXN000071,CUST1016,2025-11-08,Renewal,Pro,59
TXN000072,CUST1016,2025-12-08,Renewal,Pro,59
TXN000073,CUST1016,2026-01-08,Renewal,Pro,59
TXN000074,CUST1016,2026-02-08,Renewal,Pro,59
TXN000075,CUST1016,2026-03-08,Renewal,Pro,59
TXN000076,CUST1016,2026-04-08,Renewal,Pro,59
TXN000077,CUST1016,2026-05-08,Renewal,Pro,59
TXN000078,CUST1016,2026-06-08,Cancellation,Pro,0
TXN000079,CUST1004,2020-01-18,New Subscription,Pro,59
TXN000080,CUST1004,2020-02-18,Renewal,Pro,59
TXN000081,CUST1004,2020-03-18,Renewal,Pro,59
TXN000082,CUST1004,2020-04-18,Renewal,Pro,59
TXN000083,CUST1004,2020-05-18,Renewal,Pro,59
TXN000084,CUST1004,2020-06-18,Renewal,Pro,59
TXN000085,CUST1004,2020-07-18,Renewal,Pro,59
TXN000086,CUST1004,2020-08-18,Renewal,Pro,59
TXN000087,CUST1004,2020-09-18,Renewal,Pro,59
TXN000088,CUST1004,2020-10-18,Renewal,Pro,59
TXN000089,CUST1004,2020-11-18,Renewal,Pro,59
TXN000090,CUST1004,2020-12-18,Renewal,Pro,59
TXN000091,CUST1004,2021-01-18,Renewal,Pro,59
TXN000092,CUST1004,2021-02-18,Renewal,Pro,59
TXN000093,CUST1004,2021-03-18,Renewal,Pro,59
TXN000094,CUST1004,2021-04-18,Renewal,Pro,59
TXN000095,CUST1004,2021-05-18,Renewal,Pro,59
TXN000096,CUST1004,2021-06-18,Renewal,Pro,59
TXN000097,CUST1004,2021-07-18,Renewal,Pro,59
TXN000098,CUST1004,2021-08-18,Renewal,Pro,59
TXN000099,CUST1004,2021-09-18,Renewal,Pro,59
TXN000100,CUST1004,2021-10-18,Renewal,Pro,59
TXN000101,CUST1004,2021-11-18,Renewal,Pro,59
TXN000102,CUST1004,2021-12-18,Renewal,Pro,59
TXN000103,CUST1004,2022-01-18,Renewal,Pro,59
TXN000104,CUST1004,2022-02-18,Renewal,Pro,59
TXN000105,CUST1004,2022-03-18,Renewal,Pro,59
TXN000106,CUST1004,2022-04-18,Renewal,Pro,59
TXN000107,CUST1004,2022-05-18,Renewal,Pro,59
TXN000108,CUST1004,2022-06-18,Renewal,Pro,59
TXN000109,CUST1004,2022-07-18,Renewal,Pro,59
TXN000110,CUST1004,2022-08-18,Cancellation,Pro,0
TXN000111,CUST1030,2020-01-20,New Subscription,Enterprise,149
TXN000112,CUST1030,2020-02-20,Renewal,Enterprise,149
TXN000113,CUST1030,2020-03-20,Renewal,Enterprise,149
TXN000114,CUST1030,2020-04-20,Renewal,Enterprise,149
TXN000115,CUST1030,2020-05-20,Renewal,Enterprise,149
TXN000116,CUST1030,2020-06-20,Renewal,Enterprise,149
TXN000117,CUST1030,2020-07-20,Renewal,Enterprise,149
TXN000118,CUST1030,2020-08-20,Renewal,Enterprise,149
TXN000119,CUST1030,2020-09-20,Renewal,Enterprise,149
TXN000120,CUST1030,2020-10-20,Renewal,Enterprise,149
TXN000121,CUST1030,2020-11-20,Renewal,Enterprise,149
TXN000122,CUST1030,2020-12-20,Renewal,Enterprise,149
TXN000123,CUST1030,2021-01-20,Renewal,Enterprise,149
TXN000124,CUST1030,2021-02-20,Renewal,Enterprise,149
TXN000125,CUST1030,2021-03-20,Renewal,Enterprise,149
TXN000126,CUST1030,2021-04-20,Renewal,Enterprise,149
TXN000127,CUST1030,2021-05-20,Renewal,Enterprise,149
TXN000128,CUST1030,2021-06-20,Renewal,Enterprise,149
TXN000129,CUST1030,2021-07-20,Renewal,Enterprise,149
TXN000130,CUST1030,2021-08-20,Renewal,Enterprise,149
TXN000131,CUST1030,2021-09-20,Renewal,Enterprise,149
TXN000132,CUST1030,2021-10-20,Renewal,Enterprise,149
TXN000133,CUST1030,2021-11-20,Renewal,Enterprise,149
TXN000134,CUST1030,2021-12-20,Renewal,Enterprise,149
TXN000135,CUST1030,2022-01-20,Renewal,Enterprise,149
TXN000136,CUST1030,2022-02-20,Renewal,Enterprise,149
TXN000137,CUST1030,2022-03-20,Renewal,Enterprise,149
TXN000138,CUST1030,2022-04-20,Renewal,Enterprise,149
TXN000139,CUST1030,2022-05-20,Renewal,Enterprise,149
TXN000140,CUST1030,2022-06-20,Renewal,Enterprise,149
TXN000141,CUST1030,2022-07-20,Renewal,Enterprise,149
TXN000142,CUST1030,2022-08-20,Renewal,Enterprise,149
TXN000143,CUST1030,2022-09-20,Renewal,Enterprise,149
TXN000144,CUST1030,2022-10-20,Renewal,Enterprise,149
TXN000145,CUST1030,2022-11-20,Renewal,Enterprise,149
TXN000146,CUST1030,2022-12-20,Renewal,Enterprise,149
TXN000147,CUST1030,2023-01-20,Renewal,Enterprise,149
TXN000148,CUST1030,2023-02-20,Renewal,Enterprise,149
TXN000149,CUST1030,2023-03-20,Renewal,Enterprise,149
TXN000150,CUST1030,2023-04-20,Renewal,Enterprise,149
